index,name,layer,pos_x,pos_y,pos_z,rotation,value,tilt,height,thickness,style,width_ratio,degree,length,end_x,end_y,end_z,delta_x,delta_y,delta_z,start_x,start_y,start_z,pos_x1,pos_y1,pos_z1,width,minor_radius,minor_vector_x,minor_vector_y,minor_vector_z,area,radius_ratio,start_degree,major_radius,major_vector_x,major_vector_y,major_vector_z,centor_point_x,centor_point_y,centor_point_z,close,global_width,associative,radius,total_angle
1,Point,0,67140.7286,96594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,56689.0015,69588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,92334.2887,96594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,134440.3394,69588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,98734.2887,79188.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,106834.2887,79188.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,115934.2887,75588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,107834.2887,75588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,143734.2887,75588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,127934.2887,75588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,143734.2887,79488.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,127934.2887,79488.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,115934.2887,78188.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,87140.7286,96594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,99140.7286,103594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,99140.7286,96594.3232,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,145928.6511,75588.0798,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,129,2667.5844,73128.3163,62822.3339,0,-1688.2419,2065.3924,0,74816.5582,60756.9416,0,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,0,,,,,,,,0,,,,3625.2224,,,,,,,,,,,,,,,,,,952597.3361,,90,,,,,62992.1427,62088.0798,0,,,,4000,52
1,Arc,0,,,,,,,,0,,,,6283.1853,,,,,,,,,,,,,,,,,,4566370.614,,270,,,,,84834.2887,44223.9554,0,,,,4000,90
1,Line,0,,,,,,,,0,,,0,7072.2872,84834.2887,40223.9554,0,7072.2872,0,0,77762.0015,40223.9554,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,0,8157.4611,82834.2887,66088.0798,0,8157.4611,0,0,74676.8277,66088.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,180,1093.8682,62992.1427,66088.0798,0,-1093.8682,0,0,64086.0109,66088.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,52,5883.0916,59843.219,64554.713,0,3627.8572,4631.3517,0,56215.3617,59923.3612,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,TSZ,,,,,,,,0,,,263,3970.8167,51326.9667,61696.3795,0,-511.2485,-3937.7671,0,51838.2151,65634.1466,0,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,0,,,,,,,,0,,,,1771.0763,,,,,,,,,,,,,,,,,,222564.9405,,39,,,,,64086.0109,64088.0798,0,,,,2000,51
1,Point,0,67891.2038,43804.0884,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,42689.0015,44274.2353,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,42689.0015,41974.2353,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,49689.0015,41974.2353,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,0,49689.0015,44274.2353,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
